id,rating
0,171,
1,190,
2,189,
3,189,
4,194,
5,190,
6,181,
7,184,
8,172,
9,187,
10,187,
11,185,
12,164,
13,193,
14,211,
15,191,
16,196,
17,192,
18,217,
19,225,
20,233,
21,225,
22,236,
23,209,
24,236,
25,236,
26,236,
27,229,
28,226,
29,237,
30,238,
31,237,
32,234,
33,237,
34,234,
35,236,
36,236,
37,236,
38,236,
39,232,
40,235,
41,236,
42,227,
43,232,
44,236,
45,234,
46,215,
47,239,
48,205,
49,213,
50,195,
51,223,
52,206,
53,213,
54,225,
55,218,
56,221,
57,234,
58,227,
59,195,
60,211,
61,207,
62,232,
63,236,
64,237,
65,221,
66,197,
67,196,
68,195,
69,205,
70,211,
71,194,
72,203,
73,171,
74,216,
75,199,
76,167,
77,173,
78,175,
79,176,
80,172,
81,177,
82,183,
83,199,
84,205,
85,202,
86,204,
87,201,
88,204,
89,207,
90,208,
91,204,
92,235,
93,201,
94,202,
95,208,
96,210,
97,202,
98,208,
99,237,
100,219,
101,235,
102,217,
103,198,
104,235,
105,235,
106,234,
107,232,
108,230,
109,201,
110,223,
111,221,
112,230,
113,232,
114,233,
115,233,
116,232,
117,224,
118,225,
119,217,
120,233,
121,207,
122,204,
123,201,
124,204,
125,231,
126,234,
127,208,
128,209,
129,231,
130,209,
131,230,
132,230,
133,225,
134,221,
135,228,
136,226,
137,229,
138,230,
139,230,
140,227,
141,235,
142,230,
143,232,
144,232,
145,226,
146,231,
147,227,
148,230,
149,230,
150,228,
151,223,
152,227,
153,216,
154,227,
155,220,
156,233,
157,218,
158,229,
159,231,
160,212,
161,228,
162,231,
163,225,
164,231,
165,222,
166,198,
167,197,
168,231,
169,186,
170,233,
171,199,
172,231,
173,227,
174,209,
175,203,
176,189,
177,224,
178,209,
179,187,
180,219,
181,211,
182,228,
183,187,
184,192,
185,195,
186,194,
187,199,
188,192,
189,197,
190,195,
191,186,
192,158,
193,174,
194,187,
195,190,
196,207,
197,201,
198,202,
199,210,
200,211,
201,181,
202,169,
203,158,
204,177,
205,176,
206,203,
207,194,
208,196,
209,198,
210,187,
211,203,
212,203,
213,206,
214,189,
215,211,
216,214,
217,197,
218,206,
219,169,
220,184,
221,193,
222,203,
223,190,
224,213,
225,212,
226,206,
227,199,
228,201,
229,173,
230,197,
231,197,
232,204,
233,189,
234,189,
235,199,
236,190,
237,191,
238,193,
239,199,
240,197,
241,194,
242,199,
243,200,
244,204,
245,212,
246,207,
247,210,
248,210,
249,217,
250,222,
251,220,
252,214,
253,213,
254,208,
255,212,
256,214,
257,218,
258,217,
259,221,
260,219,
261,204,
262,203,
263,203,
264,197,
265,198,
266,204,
267,204,
268,202,
269,202,
270,205,
271,195,
272,204,
273,205,
274,196,
275,195,
276,202,
277,199,
278,208,
279,201,
280,208,
281,177,
282,183,
283,178,
284,169,
285,198,
286,171,
287,210,
288,171,
289,169,
290,167,
291,161,
292,168,
293,169,
294,174,
295,166,
296,173,
297,178,
298,184,
299,191,
300,192,
301,193,
302,200,
303,198,
304,196,
305,207,
306,215,
307,200,
308,196,
309,200,
310,185,
311,198,
312,198,
313,201,
314,197,
315,201,
316,199,
317,206,
318,208,
319,209,
320,206,
321,204,
322,193,
323,205,
324,185,
325,187,
326,171,
327,192,
328,178,
329,183,
330,193,
331,196,
332,196,
333,195,
334,189,
335,183,
336,188,
337,191,
338,186,
339,175,
340,169,
341,214,
342,215,
343,221,
344,181,
345,221,
346,215,
347,194,
348,221,
349,178,
350,214,
351,206,
352,204,
353,205,
354,204,
355,190,
356,196,
357,163,
358,164,
359,174,
360,175,
361,183,
362,188,
363,195,
364,197,
365,195,
366,191,
367,189,
368,165,
369,159,
370,187,
371,188,
372,194,
373,203,
374,183,
375,211,
376,209,
377,200,
378,203,
379,200,
380,199,
381,204,
382,213,
383,199,
384,198,
385,203,
386,209,
387,206,
388,213,
389,197,
390,140,
391,145,
392,169,
393,180,
394,182,
395,187,
396,194,
397,195,
398,203,
399,198,
400,194,
401,192,
402,213,
403,216,
404,196,
405,214,
406,207,
407,200,
408,180,
409,176,
410,193,
411,175,
412,188,
413,191,
414,199,
415,198,
416,207,
417,209,
418,209,
419,200,
420,200,
421,192,
422,199,
423,195,
424,197,
425,198,
426,196,
427,201,
428,200,
429,206,
430,186,
431,212,
432,192,
433,210,
434,200,
435,209,
436,202,
437,210,
438,196,
439,193,
440,194,
441,194,
442,193,
443,197,
444,203,
445,194,
446,204,
447,207,
448,208,
449,191,
450,197,
451,209,
452,192,
453,207,
454,198,
455,204,
456,211,
457,208,
458,216,
459,210,
460,213,
461,200,
462,211,
463,217,
464,221,
465,227,
466,229,
467,219,
468,224,
469,209,
470,206,
471,206,
472,185,
473,199,
474,201,
475,197,
476,202,
477,193,
478,197,
479,194,
480,200,
481,202,
482,208,
483,199,
484,192,
485,197,
486,206,
487,202,
488,213,
489,207,
490,202,
491,201,
492,182,
493,186,
494,191,
495,197,
496,200,
497,194,
498,201,
499,206,
500,214,
501,188,
502,192,
503,220,
504,188,
505,215,
506,193,
507,216,
508,213,
509,198,
510,180,
511,187,
512,196,
513,212,
514,190,
515,187,
516,204,
517,194,
518,197,
519,202,
520,196,
521,198,
522,205,
523,210,
524,190,
525,214,
526,212,
527,208,
528,199,
529,196,
530,188,
531,200,
532,194,
533,194,
534,196,
535,199,
536,208,
537,202,
538,206,
539,207,
540,202,
541,201,
542,210,
543,212,
544,212,
545,214,
546,219,
547,222,
548,215,
549,208,
550,213,
551,218,
552,209,
553,210,
554,212,
555,172,
556,171,
557,182,
558,172,
559,188,
560,182,
561,180,
562,187,
563,195,
564,185,
565,188,
566,181,
567,184,
568,184,
569,189,
570,188,
571,212,
572,212,
573,217,
574,212,
575,220,
576,226,
577,229,
578,231,
579,232,
580,233,
581,230,
582,232,
583,228,
584,229,
585,191,
586,229,
587,225,
588,183,
589,174,
590,192,
591,203,
592,186,
593,206,
594,208,
595,205,
596,207,
597,208,
598,197,
599,212,
600,205,
601,210,
602,214,
603,216,
604,211,
605,192,
606,202,
607,208,
608,186,
609,201,
610,211,
611,203,
612,199,
613,207,
614,192,
615,206,
616,209,
617,182,
618,195,
619,194,
620,199,
621,193,
622,192,
623,194,
624,176,
625,191,
626,184,
627,182,
628,192,
629,193,
630,195,
631,200,
632,192,
633,196,
634,198,
635,159,
636,212,
637,207,
638,212,
639,207,
640,207,
641,206,
642,205,
643,168,
644,213,
645,201,
646,205,
647,194,
648,203,
649,166,
650,214,
651,207,
652,203,
653,203,
654,212,
655,169,
656,168,
657,213,
658,208,
659,201,
660,207,
661,218,
662,210,
663,221,
664,201,
665,217,
666,194,
667,190,
668,159,
669,174,
670,171,
671,175,
672,195,
673,172,
674,214,
675,176,
676,168,
677,206,
678,174,
679,174,
680,218,
681,172,
682,215,
683,214,
684,172,
685,220,
686,206,
687,186,
688,200,
689,218,
690,215,
691,176,
692,186,
693,213,
694,222,
695,215,
696,195,
697,212,
698,207,
699,210,
700,210,
701,216,
702,203,
703,203,
704,207,
705,186,
706,213,
707,200,
708,209,
709,207,
710,209,
711,212,
712,213,
713,166,
714,208,
715,173,
716,175,
717,181,
718,161,
719,192,
720,190,
721,154,
722,205,
723,208,
724,161,
725,180,
726,156,
727,159,
728,162,
729,221,
730,196,
731,227,
732,160,
733,186,
734,222,
735,212,
736,214,
737,213,
738,209,
739,153,
740,196,
741,171,
742,162,
743,178,
744,158,
745,155,
746,188,
747,160,
748,162,
749,182,
750,196,
751,170,
752,176,
753,184,
754,161,
755,202,
756,164,
757,156,
758,151,
759,145,
760,145,
761,146,
762,231,
763,171,
764,213,
765,205,
766,197,
767,193,
768,202,
