id,exerciseId,rating,ratingELO,classExamId,correct
13,1738,0,202,43,0
14,1765,0,202,43,0
15,1774,0,197,43,1
16,1785,0,202,43,0
17,1872,0,201,43,0
18,1922,0,201,43,0
19,1961,0,201,43,0
20,1990,0,201,43,0
21,2003,0,201,43,0
22,2014,0,201,43,0
23,2159,0,201,43,0
24,2201,0,201,43,0
25,2223,0,201,43,0
26,2229,0,201,43,0
27,2233,0,201,43,0
49,1712,0,202,148,0
50,1850,0,202,148,0
51,1852,0,197,148,1
52,1887,0,202,148,0
53,1912,0,197,148,1
54,1954,0,197,148,1
55,2014,0,203,148,0
56,2015,0,197,148,1
57,2016,0,197,148,1
58,2032,0,202,148,0
59,2036,0,197,148,1
60,2037,0,197,148,1
61,2051,0,197,148,1
62,2090,0,202,148,0
63,2158,0,202,148,0
64,2159,0,198,148,1
65,2160,0,202,148,0
66,2233,0,202,148,0
67,2234,0,201,148,0
104,1858,0,202,610,0
105,1870,0,202,610,0
106,1986,0,202,610,0
107,2005,0,197,610,1
108,2188,0,201,610,0
109,2210,0,201,610,0
110,1824,0,202,625,0
111,1844,0,202,625,0
112,1933,0,202,625,0
113,2011,0,201,625,0
114,2056,0,197,625,1
115,2166,0,201,625,0
116,1712,0,199,630,1
117,1817,0,202,630,0
118,1850,0,199,630,1
119,1887,0,199,630,1
120,1912,0,194,630,1
121,2014,0,205,630,0
122,2015,0,199,630,0
123,2506,0,197,630,1
124,2032,0,204,630,0
125,2090,0,199,630,1
126,2119,0,197,630,1
127,2158,0,199,630,1
128,2159,0,200,630,0
129,2160,0,199,630,1
130,2228,0,202,630,0
131,2230,0,202,630,0
132,2234,0,203,630,0
140,1716,0,197,661,1
141,1724,0,197,661,1
142,1730,0,202,661,0
143,1760,0,197,661,1
144,1784,0,197,661,1
145,1792,0,202,661,0
146,1920,0,202,661,0
147,1967,0,197,661,1
148,1974,0,197,661,1
149,1982,0,202,661,0
150,2007,0,202,661,0
151,2502,0,197,661,1
152,2506,0,199,661,0
153,2054,0,202,661,0
154,2100,0,197,661,1
155,2104,0,202,661,0
156,2171,0,201,661,0
160,1727,0,202,820,0
161,1728,0,197,820,1
162,1773,0,202,820,0
163,1810,0,202,820,0
164,1862,0,201,820,0
165,1948,0,197,820,1
166,1951,0,201,820,0
167,2040,0,201,820,0
168,2080,0,197,820,1
169,2089,0,201,820,0
170,2190,0,201,820,0
171,2213,0,201,820,0
172,2217,0,201,820,0
173,2218,0,201,820,0
184,1731,0,202,872,0
185,1805,0,202,872,0
186,1940,0,202,872,0
187,1949,0,197,872,1
188,1988,0,197,872,1
189,2107,0,202,872,0
190,2140,0,201,872,0
191,2146,0,201,872,0
192,2210,0,202,872,0
193,2213,0,202,872,0
194,1716,0,199,883,0
195,1812,0,202,883,0
196,1829,0,202,883,0
197,1851,0,201,883,0
198,1894,0,201,883,0
199,1952,0,201,883,0
200,1982,0,203,883,0
201,2503,0,201,883,0
202,2048,0,201,883,0
203,2100,0,198,883,0
204,2105,0,201,883,0
205,2120,0,201,883,0
206,2163,0,201,883,0
207,2169,0,201,883,0
208,2229,0,197,883,1
218,1781,0,202,999,0
219,1848,0,202,999,0
220,1868,0,202,999,0
221,1906,0,201,999,0
222,1927,0,201,999,0
223,2031,0,197,999,1
224,2196,0,201,999,0
256,1726,0,197,1051,1
257,1731,0,204,1051,0
258,1745,0,202,1051,0
259,1754,0,202,1051,0
260,1777,0,201,1051,0
261,1793,0,201,1051,0
262,1918,0,201,1051,0
263,1934,0,197,1051,1
264,1944,0,201,1051,0
265,1977,0,197,1051,1
266,2044,0,197,1051,1
267,2080,0,194,1051,1
268,2101,0,201,1051,0
269,2129,0,201,1051,0
270,2150,0,201,1051,0
288,1712,0,201,1140,0
289,1840,0,202,1140,0
290,1850,0,201,1140,0
291,1852,0,199,1140,0
292,1872,0,202,1140,0
293,2014,0,206,1140,0
294,2015,0,196,1140,1
295,2506,0,200,1140,0
296,2119,0,198,1140,0
297,2158,0,196,1140,1
298,1716,0,200,1142,0
299,1731,0,200,1142,1
300,1743,0,201,1142,0
301,1748,0,196,1142,1
302,1754,0,198,1142,1
303,1825,0,196,1142,1
304,1855,0,196,1142,1
305,1897,0,197,1142,1
306,1925,0,197,1142,1
307,1933,0,199,1142,1
308,1955,0,197,1142,1
309,2033,0,197,1142,1
310,2083,0,197,1142,1
311,2096,0,197,1142,1
312,2142,0,197,1142,1
313,2155,0,197,1142,1
314,1726,0,194,1143,1
315,1731,0,197,1143,1
316,1762,0,202,1143,0
317,1771,0,202,1143,0
318,1791,0,197,1143,1
319,1818,0,197,1143,1
320,1828,0,197,1143,1
321,1841,0,197,1143,1
322,1851,0,198,1143,1
323,1912,0,192,1143,1
324,1916,0,198,1143,1
325,1940,0,200,1143,1
326,2018,0,198,1143,1
327,2127,0,198,1143,1
328,2158,0,194,1143,1
329,1737,0,198,1146,1
330,1765,0,200,1146,1
331,1779,0,198,1146,1
332,1790,0,202,1146,0
333,1861,0,198,1146,1
334,1874,0,202,1146,0
335,1896,0,198,1146,1
336,1901,0,198,1146,1
337,1927,0,199,1146,1
338,1949,0,199,1146,0
339,1969,0,198,1146,1
340,2086,0,198,1146,1
341,2141,0,198,1146,1
