id,exerciseId,ratingELO
64898,10760,183
64190,10761,182
64288,10766,195
64381,10767,197
62304,10770,190
64169,10771,193
64694,10772,174
63823,10773,188
64287,10774,177
63824,10775,187
64162,10776,185
64193,10777,176
64884,10779,182
64859,10780,177
55774,10857,195
55703,10880,194
55339,10882,191
64276,10884,180
62723,10885,171
64882,10887,193
60658,10888,180
64277,10889,167
62592,10890,178
62732,10895,163
64059,10896,172
61176,10924,166
61854,10927,197
62662,10928,184
61856,10929,197
61857,10930,194
61858,10931,190
61859,10932,197
61860,10933,202
62749,10937,184
59265,10938,197
61980,10942,171
56251,10947,195
56326,10982,200
56422,10985,200
58625,10986,192
59185,10987,195
64194,11208,191
60301,11348,196
61465,11353,202
64883,11385,195
65800,11387,151
61104,11420,197
62161,11421,186
58088,11422,184
59983,11423,182
56420,11424,190
61072,11425,196
60347,11426,174
62184,11589,200
62202,11595,196
62226,11600,200
61886,11602,197
61978,11605,197
62196,11615,202
62233,11619,199
62017,11622,197
62612,11885,195
63128,11889,201
65775,11899,174
61853,11900,197
61861,11901,197
66012,11903,164
63003,11967,200
65777,11974,172
64103,12072,201
64034,12080,196
63392,12118,201
63271,12119,203
63421,12124,196
64351,12127,199
64159,12128,196
64769,12129,192
66042,12130,190
65577,12132,182
66141,12133,171
66089,12134,185
63776,12135,202
64751,12136,194
63422,12138,198
63468,12140,196
63724,12144,197
64097,12146,202
64168,12149,198
63407,12150,196
65892,12151,180
63858,12152,202
66076,12153,194
66116,12154,168
66142,12155,161
66156,12156,186
63313,12158,197
66117,12159,182
63394,12167,191
63843,12171,187
64222,12172,196
66027,12173,180
64809,12174,196
63969,12175,196
65985,12176,171
63777,12177,196
66091,12178,189
65945,12179,184
66179,12180,182
63736,12181,189
66119,12182,186
65962,12185,168
64249,12186,195
64385,12190,190
64662,12192,187
64114,12195,203
65774,12211,172
65311,12212,184
63650,12213,196
66028,12249,197
66120,12257,194
65111,12335,184
48574,1710,162
65778,1711,99
65252,1712,159
65975,1713,134
65522,1714,114
64756,1715,151
48666,1716,172
65895,1717,155
65927,1718,127
65976,1719,107
65256,1720,129
26554,1721,180
29403,1722,178
29296,1723,140
30982,1724,160
29710,1725,139
27997,1726,172
31503,1727,158
31456,1728,128
31191,1729,194
27850,1730,157
48170,1731,130
49474,1732,151
49526,1733,135
49531,1734,137
49036,1735,127
48430,1736,135
48723,1737,119
61892,1738,112
50830,1739,140
64195,1740,184
55482,1741,176
50823,1742,171
63807,1743,135
66017,1744,173
64151,1745,132
66047,1746,127
66048,1747,162
65897,1748,147
62636,1749,145
62597,1750,155
64025,1751,139
66049,1752,131
62576,1753,169
66159,1754,132
65898,1755,110
65780,1756,140
65264,1757,134
65834,1758,128
31413,1759,160
48403,1760,159
63007,1761,172
64384,1762,163
65284,1763,121
63830,1764,125
49756,1765,147
65977,1766,162
50875,1767,160
64179,1768,184
64196,1769,159
46208,1770,125
49419,1771,166
64197,1772,155
65978,1773,122
65265,1774,142
64931,1775,157
48561,1776,142
49128,1777,133
66018,1778,133
66160,1779,92
49483,1780,122
52397,1781,200
65979,1782,97
49067,1783,123
65267,1784,145
63134,1785,169
65268,1786,125
65437,1787,107
64171,1788,119
47409,1789,132
66050,1790,175
65915,1791,107
65274,1792,103
64211,1793,143
63125,1794,154
49555,1795,190
48225,1796,164
64143,1797,173
65980,1798,113
50431,1799,108
65481,1800,137
64355,1801,137
65929,1802,130
64866,1803,169
63374,1804,126
57069,1805,210
65795,1806,104
64361,1807,161
66052,1808,161
65981,1809,119
65765,1810,157
65901,1811,153
51551,1812,214
63757,1813,164
66038,1814,159
65810,1815,133
65075,1816,136
65258,1817,191
48484,1818,130
51024,1819,139
49556,1820,142
49539,1821,137
49763,1822,125
65257,1823,122
48839,1824,140
49499,1825,130
48045,1826,137
47434,1827,137
64740,1828,102
47435,1829,123
50989,1830,156
48917,1831,112
64373,1832,195
48420,1833,134
63957,1834,155
29100,1835,132
65838,1836,149
65811,1837,137
50413,1838,154
61824,1839,116
65430,1840,112
64011,1841,145
64182,1842,166
65784,1843,128
63758,1844,153
64388,1845,155
66023,1846,132
65916,1847,142
65840,1848,138
66183,1849,161
65253,1850,106
65767,1851,132
65445,1852,152
65785,1853,100
64721,1854,141
50877,1855,170
61611,1856,133
46697,1857,111
66054,1858,164
63937,1859,121
65273,1860,159
59355,1861,141
65982,1862,143
62989,1863,174
64175,1864,165
65841,1865,128
66055,1866,152
49558,1867,113
65842,1868,145
66024,1869,164
66025,1870,124
61813,1871,154
65259,1872,102
63916,1873,140
64201,1874,150
48797,1875,146
66184,1876,123
65931,1877,115
64376,1878,137
64389,1879,148
64869,1880,130
64228,1881,155
64164,1882,124
64870,1883,133
64178,1884,121
63864,1885,108
64742,1886,132
65505,1887,119
51025,1888,155
64166,1889,180
50786,1890,173
60846,1891,154
47437,1892,148
46115,1893,164
64391,1894,132
49479,1895,154
49462,1896,126
66026,1897,144
63623,1898,112
50858,1899,108
65786,1900,167
65602,1901,141
65787,1902,148
63958,1903,131
63918,1905,161
65918,1906,147
64377,1907,136
64378,1908,157
49485,1909,146
65932,1910,134
65919,1911,132
65504,1912,133
64075,1913,116
65788,1914,133
66056,1915,157
63865,1916,141
64029,1917,118
65830,1918,139
65846,1919,130
65983,1920,124
65789,1921,125
65531,1922,139
65890,1923,130
50835,1924,121
47413,1925,116
48698,1926,131
61716,1927,92
49076,1928,72
49617,1929,82
47530,1930,122
63812,1931,132
64649,1932,122
29426,1933,157
29167,1934,174
31454,1935,155
29302,1936,139
28339,1937,135
29376,1938,122
31322,1939,149
31265,1940,135
31493,1941,149
31071,1942,113
50879,1943,100
65582,1944,107
64911,1945,141
50411,1946,128
47623,1947,131
49298,1948,92
49551,1949,133
46303,1950,147
49959,1951,100
49508,1952,93
65953,1953,116
65114,1954,110
65920,1955,133
63747,1956,146
46125,1957,154
63389,1958,138
64631,1959,132
65583,1960,113
64658,1961,125
64105,1962,126
51026,1963,135
64106,1964,107
64051,1965,115
66099,1966,147
66100,1967,114
66101,1968,111
66124,1969,128
50210,1970,116
65486,1971,118
49446,1972,140
49618,1973,150
48710,1974,143
47532,1975,151
47749,1976,122
66103,1977,162
46212,1978,123
45820,1979,100
48932,1981,66
64762,1982,125
64092,1983,143
62972,1984,141
64650,1985,151
66066,1986,134
66125,1987,140
65954,1988,113
65997,1989,95
64118,1990,133
65135,1991,103
63721,1992,111
64763,1993,135
64422,1994,140
64912,1995,111
50418,1996,145
64054,1997,127
63026,1998,126
66126,1999,122
66127,2000,173
65586,2001,109
65738,2002,125
64127,2003,122
66104,2004,121
66128,2005,176
66172,2006,87
66105,2007,73
64610,2008,174
66162,2009,138
65957,2010,120
65740,2011,109
66149,2012,109
66130,2013,136
65106,2014,107
65412,2015,136
65413,2016,110
64056,2017,147
64624,2018,122
65959,2019,98
65400,2020,155
65138,2021,161
49473,2027,96
63839,2028,125
64653,2029,116
64914,2030,141
61721,2031,92
65387,2032,86
65961,2033,107
62392,2034,130
61112,2035,142
65107,2036,117
65121,2037,107
62471,2038,122
47733,2039,162
66003,2040,102
49438,2041,127
64932,2042,136
46284,2043,131
47499,2044,133
46161,2045,130
64260,2046,132
66004,2047,100
66005,2048,86
65588,2049,139
66151,2050,114
64707,2051,170
49380,2052,140
49397,2053,131
64429,2054,146
47955,2055,137
47619,2056,106
47634,2057,84
49357,2058,123
49343,2059,142
49372,2060,141
49358,2061,117
51008,2062,163
63733,2063,139
64875,2064,141
47837,2065,132
64748,2066,152
66163,2067,140
66083,2068,145
66132,2069,112
49048,2070,109
56631,2071,173
48050,2072,132
48032,2073,147
63691,2074,133
47527,2075,163
48193,2076,134
50429,2077,134
64654,2078,128
50783,2079,133
66133,2080,128
66152,2081,157
47966,2082,181
64430,2083,139
64408,2084,127
65590,2085,149
66110,2086,136
66153,2087,101
66154,2088,114
66010,2089,130
65489,2090,88
63976,2091,142
49510,2092,168
48584,2093,136
