id,exerciseId,rating,ratingELO,classExamId,correct,rd,finishedAt
13,1738,0,362,43,0,350,"2019-06-17 15:30:53"
14,1765,0,362,43,0,350,"2019-06-17 15:30:53"
15,1774,0,37,43,1,37.78782098934366,"2019-06-17 15:30:53"
16,1785,0,362,43,0,350,"2019-06-17 15:30:53"
17,1872,0,362,43,0,350,"2019-06-17 15:30:53"
18,1922,0,362,43,0,350,"2019-06-17 15:30:53"
19,1961,0,362,43,0,350,"2019-06-17 15:30:53"
20,1990,0,362,43,0,350,"2019-06-17 15:30:53"
21,2003,0,362,43,0,350,"2019-06-17 15:30:53"
22,2014,0,362,43,0,350,"2019-06-17 15:30:53"
23,2159,0,362,43,0,350,"2019-06-17 15:30:53"
24,2201,0,362,43,0,350,"2019-06-17 15:30:53"
25,2223,0,362,43,0,350,"2019-06-17 15:30:53"
26,2229,0,362,43,0,350,"2019-06-17 15:30:53"
27,2233,0,362,43,0,350,"2019-06-17 15:30:53"
49,1712,0,362,148,0,350,"2019-06-18 10:04:35"
50,1850,0,362,148,0,350,"2019-06-18 10:04:35"
51,1852,0,37,148,1,37.78782098934366,"2019-06-18 10:04:35"
52,1887,0,362,148,0,350,"2019-06-18 10:04:35"
53,1912,0,37,148,1,37.78782098934366,"2019-06-18 10:04:35"
54,1954,0,37,148,1,37.78782098934366,"2019-06-18 10:04:35"
55,2014,0,478,148,0,350,"2019-06-18 10:04:35"
56,2015,0,37,148,1,37.78782098934366,"2019-06-18 10:04:35"
57,2016,0,37,148,1,37.78782098934366,"2019-06-18 10:04:35"
58,2032,0,362,148,0,350,"2019-06-18 10:04:35"
59,2036,0,37,148,1,37.78782098934366,"2019-06-18 10:04:35"
60,2037,0,37,148,1,37.78782098934366,"2019-06-18 10:04:35"
61,2051,0,37,148,1,37.78782098934366,"2019-06-18 10:04:35"
62,2090,0,362,148,0,350,"2019-06-18 10:04:35"
63,2158,0,362,148,0,350,"2019-06-18 10:04:35"
64,2159,0,144,148,1,144.55874453231925,"2019-06-18 10:04:35"
65,2160,0,362,148,0,350,"2019-06-18 10:04:35"
66,2233,0,478,148,0,350,"2019-06-18 10:04:35"
67,2234,0,362,148,0,350,"2019-06-18 10:04:35"
104,1858,0,362,610,0,350,"2019-06-19 17:46:25"
105,1870,0,362,610,0,350,"2019-06-19 17:46:25"
106,1986,0,362,610,0,350,"2019-06-19 17:46:25"
107,2005,0,37,610,1,37.78782098934366,"2019-06-19 17:46:25"
108,2188,0,362,610,0,350,"2019-06-19 17:46:25"
109,2210,0,362,610,0,350,"2019-06-19 17:46:25"
110,1824,0,362,625,0,350,"2019-06-19 19:07:22"
111,1844,0,362,625,0,350,"2019-06-19 19:07:22"
112,1933,0,362,625,0,350,"2019-06-19 19:07:22"
113,2011,0,362,625,0,350,"2019-06-19 19:07:22"
114,2056,0,37,625,1,37.78782098934366,"2019-06-19 19:07:22"
115,2166,0,362,625,0,350,"2019-06-19 19:07:22"
116,1712,0,144,630,1,144.55874453231925,"2019-06-19 19:35:54"
117,1817,0,362,630,0,350,"2019-06-19 19:35:54"
118,1850,0,144,630,1,144.55874453231925,"2019-06-19 19:35:54"
119,1887,0,144,630,1,144.55874453231925,"2019-06-19 19:35:54"
120,1912,0,33,630,1,33.740435986252415,"2019-06-19 19:35:54"
121,2014,0,567,630,0,350,"2019-06-19 19:35:54"
122,2015,0,43,630,0,43.10666813246331,"2019-06-19 19:35:54"
123,2506,0,37,630,1,37.78782098934366,"2019-06-19 19:35:54"
124,2032,0,478,630,0,350,"2019-06-19 19:35:54"
125,2090,0,144,630,1,144.55874453231925,"2019-06-19 19:35:54"
126,2119,0,37,630,1,37.78782098934366,"2019-06-19 19:35:54"
127,2158,0,144,630,1,144.55874453231925,"2019-06-19 19:35:54"
128,2159,0,187,630,0,187.27232679336748,"2019-06-19 19:35:54"
129,2160,0,144,630,1,144.55874453231925,"2019-06-19 19:35:54"
130,2228,0,362,630,0,350,"2019-06-19 19:35:54"
