id,exerciseId,rating,ratingELO,classExamId,correct,rd,finishedAt
13,1738,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
14,1765,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
15,1774,0,837,43,1,294.4722062620386,"2019-06-17 15:30:53"
16,1785,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
17,1872,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
18,1922,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
19,1961,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
20,1990,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
21,2003,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
22,2014,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
23,2159,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
24,2201,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
25,2223,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
26,2229,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
27,2233,0,1162,43,0,294.4722062620386,"2019-06-17 15:30:53"
49,1712,0,1162,148,0,294.4722062620386,"2019-06-18 10:04:35"
50,1850,0,1162,148,0,294.4722062620386,"2019-06-18 10:04:35"
51,1852,0,837,148,1,294.4722062620386,"2019-06-18 10:04:35"
52,1887,0,1162,148,0,294.4722062620386,"2019-06-18 10:04:35"
53,1912,0,837,148,1,294.4722062620386,"2019-06-18 10:04:35"
54,1954,0,837,148,1,294.4722062620386,"2019-06-18 10:04:35"
55,2014,0,1252,148,0,262.72831303772983,"2019-06-18 10:04:35"
56,2015,0,837,148,1,294.4722062620386,"2019-06-18 10:04:35"
57,2016,0,837,148,1,294.4722062620386,"2019-06-18 10:04:35"
58,2032,0,1162,148,0,294.4722062620386,"2019-06-18 10:04:35"
59,2036,0,837,148,1,294.4722062620386,"2019-06-18 10:04:35"
60,2037,0,837,148,1,294.4722062620386,"2019-06-18 10:04:35"
61,2051,0,837,148,1,294.4722062620386,"2019-06-18 10:04:35"
62,2090,0,1162,148,0,294.4722062620386,"2019-06-18 10:04:35"
63,2158,0,1162,148,0,294.4722062620386,"2019-06-18 10:04:35"
64,2159,0,993,148,1,256.15676137357246,"2019-06-18 10:04:35"
65,2160,0,1162,148,0,294.4722062620386,"2019-06-18 10:04:35"
66,2233,0,1252,148,0,262.72831303772983,"2019-06-18 10:04:35"
67,2234,0,1162,148,0,294.4722062620386,"2019-06-18 10:04:35"
104,1858,0,1162,610,0,294.4722062620386,"2019-06-19 17:46:25"
105,1870,0,1162,610,0,294.4722062620386,"2019-06-19 17:46:25"
106,1986,0,1162,610,0,294.4722062620386,"2019-06-19 17:46:25"
107,2005,0,837,610,1,294.4722062620386,"2019-06-19 17:46:25"
108,2188,0,1162,610,0,294.4722062620386,"2019-06-19 17:46:25"
109,2210,0,1162,610,0,294.4722062620386,"2019-06-19 17:46:25"
110,1824,0,1162,625,0,294.4722062620386,"2019-06-19 19:07:22"
111,1844,0,1162,625,0,294.4722062620386,"2019-06-19 19:07:22"
112,1933,0,1162,625,0,294.4722062620386,"2019-06-19 19:07:22"
113,2011,0,1162,625,0,294.4722062620386,"2019-06-19 19:07:22"
114,2056,0,837,625,1,294.4722062620386,"2019-06-19 19:07:22"
115,2166,0,1162,625,0,294.4722062620386,"2019-06-19 19:07:22"
116,1712,0,992,630,1,257.2979695896818,"2019-06-19 19:35:54"
117,1817,0,1162,630,0,294.4722062620386,"2019-06-19 19:35:54"
118,1850,0,992,630,1,257.2979695896818,"2019-06-19 19:35:54"
119,1887,0,992,630,1,257.2979695896818,"2019-06-19 19:35:54"
120,1912,0,746,630,1,264.0337763854576,"2019-06-19 19:35:54"
