id,exerciseId,ratingELO
64898,10760,184
64190,10761,182
64288,10766,197
64381,10767,197
62304,10770,187
64169,10771,191
64694,10772,177
63823,10773,188
64287,10774,177
63824,10775,187
64162,10776,180
64193,10777,149
64884,10779,183
64859,10780,175
57257,10809,200
57258,10810,195
57259,10811,195
57260,10812,196
57261,10813,200
57282,10815,200
55774,10857,195
55703,10880,193
55339,10882,191
64276,10884,180
62723,10885,163
64882,10887,193
60658,10888,180
64277,10889,163
62592,10890,159
61797,10891,190
62732,10895,159
64059,10896,172
61176,10924,163
61854,10927,197
62662,10928,185
61856,10929,197
61857,10930,194
61858,10931,190
61859,10932,197
61860,10933,202
62749,10937,182
59265,10938,197
61980,10942,173
56251,10947,195
57288,10952,200
57289,10953,200
57290,10954,200
56326,10982,200
60869,10985,200
58625,10986,192
59185,10987,195
64194,11208,190
60301,11348,196
63136,11353,204
64883,11385,196
65800,11387,149
61104,11420,195
62161,11421,180
58088,11422,179
59983,11423,181
56420,11424,190
61072,11425,196
60347,11426,175
62184,11589,200
62202,11595,195
62226,11600,200
61886,11602,196
61978,11605,196
61969,11611,200
62196,11615,200
62233,11619,199
62017,11622,197
62144,11627,200
62612,11885,195
63128,11889,196
63137,11895,202
65775,11899,171
61853,11900,197
61861,11901,197
66012,11903,163
63003,11967,200
65777,11974,170
64103,12072,201
64034,12080,196
63392,12118,202
63328,12119,205
63421,12124,199
64319,12126,201
64351,12127,199
64159,12128,197
64769,12129,189
66042,12130,190
65577,12132,182
66141,12133,170
66089,12134,184
63776,12135,204
64751,12136,194
63422,12138,199
63468,12140,197
63724,12144,197
64097,12146,201
64168,12149,198
63407,12150,193
65892,12151,179
64663,12152,204
66076,12153,192
66116,12154,167
66142,12155,159
66156,12156,184
63313,12158,198
66117,12159,182
63394,12167,192
63843,12171,187
64222,12172,196
66027,12173,180
64809,12174,196
64667,12175,196
65985,12176,171
63777,12177,195
66091,12178,189
65945,12179,183
66179,12180,180
63736,12181,189
66119,12182,186
65962,12185,166
64249,12186,196
64666,12190,190
64662,12192,187
64114,12195,203
65774,12211,170
65311,12212,178
63650,12213,196
66028,12249,197
66120,12257,194
65111,12335,183
57380,1710,157
65778,1711,86
65252,1712,166
65975,1713,122
65522,1714,92
64756,1715,148
53253,1716,169
65895,1717,149
65927,1718,123
65976,1719,96
65256,1720,109
26554,1721,179
29921,1722,178
61875,1723,138
30982,1724,158
57300,1725,134
27997,1726,129
31503,1727,148
31456,1728,120
31191,1729,83
30050,1730,158
48170,1731,132
50518,1732,145
49526,1733,130
50467,1734,135
50676,1735,119
50761,1736,129
57382,1737,111
61892,1738,107
50830,1739,135
64195,1740,188
55482,1741,178
50823,1742,166
63807,1743,121
66173,1744,174
64151,1745,120
66047,1746,120
66048,1747,160
65897,1748,142
62636,1749,136
62597,1750,139
64025,1751,130
66174,1752,126
62576,1753,168
66159,1754,123
65898,1755,104
65780,1756,141
65264,1757,125
65834,1758,126
31413,1759,167
48403,1760,155
63007,1761,171
64384,1762,162
65284,1763,110
63830,1764,122
50708,1765,135
65977,1766,158
53282,1767,159
66175,1768,156
64196,1769,150
57319,1770,118
57351,1771,161
64197,1772,145
65978,1773,114
65265,1774,135
64931,1775,142
48561,1776,137
57333,1777,131
66018,1778,131
66160,1779,88
50764,1780,114
52397,1781,127
65979,1782,79
50688,1783,108
65267,1784,136
63134,1785,142
65268,1786,107
65437,1787,87
64171,1788,110
50867,1789,134
66050,1790,162
65915,1791,98
65274,1792,79
64211,1793,139
63125,1794,158
49555,1795,187
51020,1796,164
64143,1797,134
65980,1798,113
50809,1799,94
65481,1800,121
64355,1801,128
65929,1802,118
64866,1803,168
63374,1804,124
57069,1805,238
65795,1806,93
64361,1807,157
66052,1808,156
65981,1809,117
65765,1810,148
65901,1811,145
51551,1812,227
63757,1813,162
66038,1814,152
65810,1815,126
65075,1816,128
65258,1817,182
48484,1818,127
57321,1819,137
49556,1820,136
49539,1821,135
50729,1822,118
65257,1823,120
48839,1824,135
49499,1825,124
48045,1826,130
57353,1827,124
64740,1828,87
47435,1829,117
50989,1830,149
50969,1831,104
64373,1832,195
48420,1833,124
63957,1834,150
29100,1835,126
65838,1836,153
65811,1837,134
50413,1838,149
61824,1839,100
65430,1840,104
64331,1841,130
64182,1842,153
65784,1843,118
63758,1844,154
64388,1845,127
66023,1846,117
65916,1847,138
65840,1848,141
66183,1849,112
65253,1850,104
65767,1851,126
65445,1852,150
65785,1853,95
64721,1854,135
50877,1855,164
61611,1856,131
46697,1857,103
66054,1858,160
63937,1859,115
65273,1860,145
59355,1861,133
65982,1862,122
63097,1863,175
64175,1864,161
65841,1865,123
66055,1866,147
49558,1867,107
65842,1868,138
66024,1869,172
66025,1870,109
61813,1871,147
65259,1872,92
63916,1873,137
64201,1874,147
48797,1875,132
66184,1876,104
65931,1877,104
64376,1878,129
64389,1879,181
64869,1880,122
64228,1881,144
64164,1882,110
64870,1883,117
64178,1884,108
63864,1885,99
64742,1886,124
65505,1887,115
51025,1888,152
64166,1889,169
50786,1890,172
60846,1891,152
50871,1892,143
51474,1893,159
64391,1894,121
49479,1895,143
50427,1896,111
66176,1897,138
63623,1898,109
50858,1899,100
65786,1900,174
65602,1901,139
65787,1902,144
64324,1903,96
63918,1905,156
65918,1906,142
64377,1907,133
66177,1908,157
50428,1909,145
65932,1910,124
65919,1911,129
65504,1912,122
64924,1913,112
65788,1914,128
66178,1915,150
63865,1916,137
64029,1917,111
65830,1918,131
65846,1919,122
65983,1920,110
65789,1921,115
65531,1922,137
65890,1923,117
53399,1924,118
50872,1925,106
50528,1926,123
61716,1927,70
57324,1928,58
50997,1929,75
61876,1930,112
63812,1931,127
64649,1932,116
29426,1933,152
29167,1934,168
31454,1935,148
61877,1936,132
57339,1937,127
29376,1938,117
31322,1939,146
31265,1940,130
31493,1941,144
31071,1942,107
50879,1943,93
65582,1944,103
64911,1945,130
50499,1946,121
57354,1947,118
50766,1948,88
57305,1949,101
51476,1950,129
50479,1951,85
50691,1952,80
65953,1953,103
65114,1954,101
65920,1955,130
63747,1956,132
46125,1957,145
63389,1958,134
64631,1959,125
65583,1960,100
64658,1961,122
64105,1962,122
51026,1963,129
64106,1964,91
64051,1965,102
66099,1966,104
66100,1967,107
66101,1968,104
66124,1969,119
57388,1970,109
65486,1971,103
57306,1972,136
50770,1973,147
50771,1974,135
61879,1975,141
57356,1976,106
66103,1977,126
46212,1978,117
50773,1979,95
50623,1981,51
64762,1982,117
64092,1983,140
62972,1984,132
64650,1985,128
66066,1986,129
66125,1987,98
65954,1988,105
65997,1989,83
64118,1990,120
65135,1991,88
63721,1992,93
64763,1993,130
64422,1994,129
64912,1995,101
51477,1996,136
64054,1997,117
63026,1998,99
66126,1999,102
66127,2000,116
65586,2001,105
65738,2002,110
64333,2003,112
66104,2004,104
66128,2005,109
66172,2006,78
66105,2007,64
64610,2008,154
66162,2009,117
65957,2010,116
65740,2011,97
66149,2012,62
66130,2013,126
65106,2014,42
65412,2015,24
65413,2016,87
64056,2017,138
64624,2018,117
65959,2019,75
65400,2020,105
65138,2021,71
57326,2027,85
63839,2028,116
64653,2029,104
64914,2030,137
61721,2031,79
65387,2032,79
65961,2033,96
63192,2034,123
61112,2035,135
65107,2036,106
65121,2037,100
62471,2038,108
47733,2039,160
66003,2040,86
50713,2041,117
64932,2042,122
46284,2043,125
61882,2044,124
46200,2045,125
64260,2046,130
66004,2047,91
66005,2048,67
65588,2049,134
66151,2050,94
64707,2051,101
50000,2052,135
49397,2053,123
64429,2054,127
47955,2055,132
47619,2056,101
51479,2057,80
